"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CHOCTAW","023","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","793","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CLARKE","025","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","1,026","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CONECUH","035","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","2,082","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","ESCAMBIA","053","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","11,273","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MOBILE","097","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","5,268","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MONROE","099","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","10,143","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WASHINGTON","129","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","8,953","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WILCOX","131","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","1,248","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","BLOUNT","009","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","2,533","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CALHOUN","015","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","1,726","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CHEROKEE","019","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","308","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CLEBURNE","029","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","624","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CULLMAN","043","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","1,120","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","DE KALB","049","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","4,245","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","ETOWAH","055","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","376","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","JACKSON","071","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","2,331","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","MARSHALL","095","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","911","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","SAINT CLAIR","115","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","1,207","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","COLBERT","033","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","3,091","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","FRANKLIN","059","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","927","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAUDERDALE","077","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","698","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAWRENCE","079","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","9,129","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LIMESTONE","083","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","4,547","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MADISON","089","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","13,118","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MARION","093","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","195","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MORGAN","103","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","1,687","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","WINSTON","133","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","178","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","BIBB","007","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","707","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CHAMBERS","017","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","279","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CHILTON","021","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","1,292","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CLAY","027","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","178","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","COOSA","037","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","101","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","FAYETTE","057","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","1,356","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","JEFFERSON","073","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","225","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","LAMAR","075","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","125","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","LEE","081","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","236","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","PICKENS","107","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","1,473","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","RANDOLPH","111","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","739","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","SHELBY","117","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","273","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TALLADEGA","121","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","582","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TALLAPOOSA","123","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","227","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TUSCALOOSA","125","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","1,461","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","WALKER","127","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","328","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","BARBOUR","005","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","2,449","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","COFFEE","031","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","5,898","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","COVINGTON","039","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","2,892","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","CRENSHAW","041","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","1,566","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","DALE","045","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","10,261","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","GENEVA","061","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","12,418","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","HENRY","067","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","22,400","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","HOUSTON","069","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","23,728","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","PIKE","109","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","3,238","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","RUSSELL","113","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","10,094","37.8"
"CENSUS","2017","YEAR","","COUNTY","ALASKA","02","KENAI PENINSULA","30","KENAI PENINSULA","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","134","(L)"
"CENSUS","2017","YEAR","","COUNTY","ALASKA","02","MATANUSKA-SUSITNA-ANCHORAGE","20","ANCHORAGE","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","1,605","(L)"
"CENSUS","2017","YEAR","","COUNTY","ALASKA","02","SOUTHEAST","40","JUNEAU","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","ALASKA","02","SOUTHWEST & WEST","50","ALEUTIAN ISLANDS","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","ALASKA","02","TANANA VALLEY","10","FAIRBANKS NORTH STAR","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","5,481","0.1"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","NORTHERN","10","APACHE","001","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","1,457","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","NORTHERN","10","COCONINO","005","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","372","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","NORTHERN","10","GILA","007","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","225","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","NORTHERN","10","MOHAVE","015","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","6,380","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","NORTHERN","10","NAVAJO","017","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","2,653","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","NORTHERN","10","YAVAPAI","025","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","667","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","COCHISE","003","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","23,215","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","GRAHAM","009","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","9,399","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","GREENLEE","011","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","782","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","LAPAZ","012","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","30,747","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","MARICOPA","013","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","73,701","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","PIMA","019","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","17,515","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","PINAL","021","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","81,114","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","SANTA CRUZ","023","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","17","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","YUMA","027","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","149,632","9.7"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","CONWAY","029","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","13,287","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","FAULKNER","045","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","5,960","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","GARLAND","051","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","116","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","GRANT","053","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","183","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","HOT SPRING","059","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","712","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","PERRY","105","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","3,806","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","PULASKI","119","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","13,224","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","SALINE","125","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","34","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","ARKANSAS","001","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","193,155","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","CRITTENDEN","035","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","153,060","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","CROSS","037","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","111,606","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","LEE","077","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","124,005","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","LONOKE","085","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","106,390","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","MONROE","095","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","80,429","19.0"
"CENSUS","2017","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","PHILLIPS","107","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - ACRES","TOTAL","NOT SPECIFIED","159,472","19.0"
